section,field_name,sheet_type,source_workbook,tab_name_in_sheet,header_in_sheet,unit,plants,required_or_optional,feeds_these_metrics,notes
M8,Rejection (KG / PCS),Annual Monthly,All annual workbooks,M/C detail tab,"Rejection (KG) / Rejection — the % column is deliberately ignored",kg or pcs,All,Optional (blank = 0),Rejection %  = Rejection ÷ Actual Output,Rejection % is always recomputed. The stored rejection % cell in the sheet is never read.
M9,Runner / Lumps,Annual Monthly,Moulding M/C Summary,M/C detail tab,Runner,kg,MOULDING,Optional (Moulding only),Runner % = Runner ÷ Output,Moulding-specific waste category. Zero for all other plants.
,,,,,,,,,,
DAILY GRAIN — Per-Month Daily Workbooks (one workbook per plant per month; currently active for PIPE and GARDEN),,,,,,,,,
DA1,Date column header,Daily Per-Month,PIPE / GARDEN daily workbooks,"Report-5 (Pipe) / Daily Report (Garden)","Date label in repeating column group header — e.g. ""Apr, 1"" or ""01-Apr-26""",date,PIPE GARDEN,Required,Period / day filtering,"Detected as day-of-month (1–31). Combined with the workbook's YYYY-MM to produce the full ISO date (e.g. 2026-04-01). Non-date headers (merged blanks / summary labels) are skipped."
DA2,Machine label (daily),Daily Per-Month,PIPE / GARDEN daily workbooks,Same tab as above,"MACHINE / M/C NO. row label (left side of the wide matrix)",text,PIPE GARDEN,Required,Machine-level daily rollup,"Row label. Rows labelled TOTAL / PART-1 / PART-2 / %AGE are skipped. Must match an M/C-n key from the monthly grid (M or MACHINE + number) — otherwise the row is dropped at join to prevent mis-joins."
DA3,Run Hours (daily),Daily Per-Month,PIPE / GARDEN daily workbooks,Same tab,"Run Hours sub-column inside each date group (sub-header contains ""RUN"")",hours,PIPE GARDEN,Required,Utilisation (daily),Hours actually run on that machine on that date. Rows where both Run Hours and Output are zero are skipped.
DA4,Output (daily),Daily Per-Month,PIPE / GARDEN daily workbooks,Same tab,"Output sub-column inside each date group (sub-header contains ""OUTPUT"")",kg,PIPE GARDEN,Required,"Output Efficiency, Rejection % (daily)",Actual output for that machine on that date. For PIPE: this is net-of-rejection (gross output minus rejects) — causing a ~6.6 % reconciliation gap vs the monthly grid which records gross output. This is documented as a known honest discrepancy.
DA5,Rejection (daily),Daily Per-Month,PIPE / GARDEN daily workbooks,Same tab,"Rejection sub-column inside each date group (sub-header contains ""REJECT"")",kg,PIPE GARDEN,Optional (blank = 0),Rejection % (daily),Rejection for that machine on that date.
,,,,,,,,,,
JOINED FROM MONTHLY GRID (not read from the daily file — looked up at load time),,,,,,,,,
J1,Ideal Rate (joined),Daily Per-Month,Looked up from the cached monthly Record for the same machine + month,—,—,kg/hr,PIPE GARDEN,Required for Output Efficiency daily,"Output Efficiency (daily) = Daily Output ÷ (Run Hours × Ideal Rate)","The daily workbook does not carry an ideal rate column. It is joined from the matching monthly M/C-n row so that per-day ideal output is consistent with the monthly engine."
J2,Ideal Hours per active day (joined),Daily Per-Month,Derived: monthly Ideal Hours ÷ count of active days that month,—,—,hours/day,PIPE GARDEN,Required for Utilisation daily,Utilisation (daily) = Run Hours ÷ (Monthly Ideal Hours ÷ Active Days),"Ensures a full-month daily rollup reconciles exactly with the monthly Utilisation figure. Active days = days where either Run Hours or Output > 0 for that machine."
,,,,,,,,,,
DASHBOARD OUTPUT — metrics computed from the above fields (never read from stored % cells),,,,,,,,,
O1,Utilisation,Computed,—,—,—,%,All,"Actual Hours ÷ Ideal Hours",Headline KPI for monthly-grain plants (HDPE / MOULDING / PTMT / CP / TANK),—
O2,Output Efficiency,Computed,—,—,—,%,All,"Actual Output ÷ (Actual Hours × Ideal Rate)",Primary headline metric; shown instead of OEE for non-daily plants,—
O3,Rejection %,Computed,—,—,—,%,All,Rejection ÷ Actual Output,Always recomputed; stored % cell in sheet is ignored,—
O4,Runner %,Computed,—,—,—,%,MOULDING,Runner Lumps ÷ Actual Output,Moulding-specific,—
O5,OEE (Availability × Performance × Quality),Computed,—,—,—,%,Future (requires shift-log rows with shift_len_min > 0),"A = Run Time ÷ PPT, P = Actual Output ÷ Ideal Theoretical Output, Q = Good Count ÷ Total Count","Not active in current live data — live plants use the daily-matrix path (hours/output direct) not shift-log path. Architecture supports it when shift-log rows are present."
